영화명,유형,장르,제작년도,감독,actor
깊은 사랑 ,극영화,멜로드라마,2012,이세일,"조지예,허재호,성현아,강진석"
남자사용설명서,극영화,"멜로드라마,코메디",2012,이원석,"이시영,오정세,박영규,김정태,이원종,김준성,김민재,경수진,안용준,천진호,양윤영,안톤,타냐,김영웅,최우영,고바치,원은지,송재생,한여울,서유림,송태훈,김동희,손미애,차정화,김미림,임형택,김왕근,노영애,이순혜,정정자,브라이언 해밀턴,차은재,허승호,류경환,허준석,조성훈,김준희,정보름,지수빈,손종규,김민성,하수호,나경민,조혜선,김영현,권용욱,한님,진아름,김온유,박하름,김봄이,한대웅,신나라,한승엽,차종호,서효원,이주한,박성택,허승,이무영,윤석주,김경진,류현경,사희,지창욱,배성우"
무게,극영화,드라마,2012,전규환,"조재현,박지아,이준혁,은하수,라미란,윤동환,김성민,신동일,달시 파켓,이태양,이동희,이명자,오성태,유승현,신영웅,이설구,박건락,김형민,김영훈,정미남,문형주,조하석,황보연,김새미,김최용준,주유랑,김영서,양수호,윤건상,김지현,추대관,김현기,박일목,김은경,최가은,나의찬,이윤상,오정원,김용헌,오영아,임미주,정현주,조형래,오주환,조대희,박거늘,Chad Kretz,손현주,아트로,장원종,이신우,김재연,신예안,최기온,안미라,이호재,황새봄,손종구,한비,김병수,이영희,권지현,권혁진,이지은,이윤상"
회사원,극영화,"드라마,액션",2012,임상윤,"소지섭),이미연),곽도원),김동준),이경영),한보배),장은아),유하복),박진우),김서원),정대용,이준혁),홍희원),서대현),박주혜),유나미),홍경연),이채은),서정주),이재윤),김창회),전신환,하수호,송선홍,나주호,지은일,하정훈,신창수,이달,이문정,곽승원,홍의정,이금용,박지수),황석정,정종열,케빈 리,정아영,송은지,김민홍,이재후,김정대,전재광,김승언,박석휘,정기섭,이종원,이학렬,이주언,김중돈,배영한,강신하,소일호,송운용,임상윤),박은정,장민,알리,정인화,서효정,심해온,서한별,김봉준,강현욱,유지현,안진형,조계진,신진언,정영기,한우정,오경옥,노경애,옥주리,손지영,오재무,이태영,이동민"
전망좋은 집,극영화,멜로드라마,2012,이수성,"곽현화,하나경 ,오성태,이건,손재영,배장환,이준혁,문영동,유미란,손진호,한성용,이재호,김은서,이종우,김좌형,정다영,이다일,권용환,도봉스님,배장환,황재선,홍희철,김종서,김상일,이진아,원성진,박종환,이윤옥,이보현,심봉남,심경선,박해성,김미옥,최광주,윤정자"
비정한 도시,극영화,"미스터리,스릴러",2012,김문흠,"조성하,김석훈,이기영,서영희,정애리,안길강,서영화,지대한,김태환,이주원,박정아,김건,김재승,박희본,우지해,남성준,나수원,손상경,전봉현,김철환,정재훈,추종범,김슬기,김문흠,박진서,김기진,김중탁,권혁주,박세희,곽지혜"
내가 고백을 하면,극영화,"멜로드라마,드라마",2012,조성규,"김태우,예지원,서범석,안영미,백원길,김정은,홍지영,신지현,백도빈,서영화,박상연,이규회,이현순,최민,안지혜,장수진,김이루,이은채,이문정,윤혜리,심재욱,장민관,이인경,유나미,천재홍,박경옥,백재호,박지홍,이영랑,류승수,백종학,이상순,이형구,장석원,박해일,정미라,한성근"
너에게 간다,극영화,드라마,2012,신이수,"임향화,최용현,황태동,손예원"
낮과 밤,극영화,드라마,2012,유은정,"장현영,최민우,전영운,김시후,신선우,이정훈,정성만,표성식"
탐욕의 제국,다큐멘터리,"사회,인권",2012,홍리경,"한혜경,이윤정,정애정,김시녀,황상기,장안석,이종란,박민숙,정희수"
